limit_bal,sex,education,marriage,age,pay_1,pay_2,bill_amt1,bill_amt2,pay_amt1,pay_amt2,default_payment_next_month,age_range,age_range_int,sum_pay,mean_bill,mean_pay_amt
140000,2,2.0,1.0,37,0,0,59504,61544,3000,3000,0,35-37,13,0,385134.0,20000.0
40000,2,1.0,2.0,30,0,0,18927,21295,3000,5000,0,29-30,4,2,147185.0,13000.0
210000,1,1.0,2.0,29,-2,-2,0,0,0,0,1,28-29,3,-12,0.0,0.0
20000,2,1.0,2.0,22,0,0,14028,16484,3000,0,1,21-23,20,1,79328.0,20075.0
150000,2,,2.0,46,0,0,4463,3034,1013,1170,1,43-46,15,-3,9837.0,2183.0
380000,1,2.0,2.0,32,-1,-1,22401,21540,21540,15138,0,31-33,2,-6,114815.0,93332.0
20000,1,1.0,2.0,24,0,0,17447,18479,1318,1315,0,23-25,19,0,115810.0,6246.0
70000,1,3.0,2.0,42,1,2,37042,36171,0,3100,1,41-43,14,9,229012.0,8100.0
100000,2,3.0,,43,0,0,61559,51163,2000,1606,0,41-43,14,0,265185.0,9606.0
310000,2,2.0,1.0,49,-2,-2,13465,7867,7875,7600,0,46-49,16,-12,44125.0,30668.0
180000,2,1.0,2.0,25,1,2,41402,41742,1300,2010,0,23-25,19,3,259151.0,10246.0
150000,2,1.0,2.0,29,2,0,46224,34993,1600,1718,0,28-29,3,2,176751.0,12867.0
500000,2,1.0,1.0,45,-2,-2,1905,3640,3640,162,0,43-46,15,-12,8388.0,6483.0
180000,2,3.0,1.0,34,0,0,16386,15793,8500,1500,0,33-34,5,-3,55404.0,29179.0
180000,2,2.0,1.0,34,0,0,175886,173440,8083,7296,0,33-34,5,0,952362.0,34062.0
200000,2,1.0,2.0,34,-1,3,1587,1098,0,0,0,33-34,5,10,6747.0,1900.0
400000,2,2.0,1.0,29,0,0,400134,398857,17000,15029,0,28-29,3,0,2284140.0,109029.0
500000,2,3.0,1.0,28,0,0,22848,23638,1516,1300,1,27-28,7,0,109699.0,8816.0
70000,1,2.0,1.0,39,0,0,70800,72060,4025,2095,0,38-40,10,-1,244242.0,12120.0
50000,1,1.0,2.0,29,2,2,24987,24300,0,2700,1,28-29,3,12,157674.0,6125.0
50000,2,2.0,1.0,46,0,0,28718,29166,1000,0,1,43-46,15,-6,57884.0,1000.0
130000,2,2.0,1.0,51,-1,-1,99,0,0,0,0,49-53,17,-8,2452.0,2353.0
200000,1,1.0,1.0,57,-2,-2,152519,148751,0,0,1,53-79,18,-3,469636.0,9522.0
10000,1,2.0,1.0,56,2,2,2097,4193,2300,0,1,53-79,18,6,22852.0,3010.0
210000,2,1.0,2.0,30,2,-1,300,300,300,1159,0,29-30,4,-3,8589.0,9198.0
130000,2,3.0,2.0,29,1,-2,-190,-9850,0,0,0,28-29,3,-3,7901.0,41379.0
20000,1,,2.0,22,2,0,18565,17204,0,1200,0,21-23,20,2,88326.0,3700.0
80000,1,1.0,2.0,31,-1,-1,780,0,0,390,0,30-31,1,-6,2340.0,1950.0
320000,1,2.0,2.0,29,2,2,58267,59246,2500,2500,1,28-29,3,12,362152.0,13800.0
200000,2,2.0,1.0,32,-1,-1,9076,5787,5818,15,0,31-33,2,-3,26425.0,19512.0
290000,2,1.0,2.0,37,1,-2,0,0,0,3155,0,35-37,13,-5,5514.0,5514.0
340000,1,1.0,2.0,32,-1,-1,3048,5550,5713,23453,0,31-33,2,-6,142199.0,141997.0
20000,1,2.0,2.0,24,0,0,14619,17216,2850,0,0,23-25,19,2,101328.0,5590.0
50000,1,3.0,2.0,25,-1,0,42838,37225,1759,1779,0,23-25,19,-1,145406.0,6358.0
300000,2,1.0,1.0,45,-1,-1,291,291,291,291,0,43-46,15,-6,1746.0,1746.0
30000,2,2.0,2.0,22,0,0,28387,29612,1686,1400,1,21-23,20,0,149186.0,8411.0
240000,2,2.0,2.0,44,1,-2,0,0,0,0,1,43-46,15,-9,0.0,0.0
470000,2,3.0,,33,0,0,165254,157784,6400,7566,0,31-33,2,0,614823.0,21926.0
360000,2,1.0,2.0,26,0,0,23411,27796,4796,3400,0,25-26,6,-1,294903.0,161355.0
60000,1,3.0,2.0,30,0,0,26324,27471,1576,1213,1,29-30,4,0,143566.0,5345.0
400000,2,2.0,1.0,44,0,0,131595,139060,10700,3,0,43-46,15,2,700952.0,22753.0
50000,2,3.0,2.0,49,0,0,48909,47863,1676,1302,0,46-49,16,0,177499.0,6052.0
160000,1,2.0,2.0,33,0,0,130028,107808,4400,3547,0,31-33,2,0,667013.0,101747.0
360000,2,1.0,1.0,45,-1,-1,390,1170,1170,0,1,43-46,15,-2,3510.0,2340.0
160000,2,2.0,2.0,32,0,0,3826,4751,1147,2000,0,31-33,2,-1,31623.0,8216.0
130000,2,1.0,1.0,35,0,0,81313,117866,40000,5000,0,34-35,8,-3,226534.0,56705.0
20000,1,3.0,2.0,44,2,2,8583,8303,0,1651,0,43-46,15,6,61309.0,6151.0
200000,1,1.0,1.0,53,2,2,138180,140774,6300,5500,1,49-53,17,12,862167.0,32800.0
280000,2,1.0,2.0,39,-1,-1,7524,0,0,3968,0,38-40,10,-5,15360.0,3968.0
100000,2,1.0,2.0,27,-2,-2,-2000,5555,7555,0,0,26-27,11,-12,3555.0,7555.0
160000,2,2.0,1.0,37,-1,-1,880,1602,1602,840,0,35-37,13,-7,4162.0,11018.0
60000,2,2.0,2.0,23,0,0,45648,46850,1937,1301,0,21-23,20,0,197839.0,6261.0
90000,1,2.0,2.0,35,0,0,83725,85996,3621,3597,0,34-35,8,0,354716.0,11756.0
360000,1,1.0,1.0,43,-1,-1,3967,8322,8339,3394,0,41-43,14,-5,58460.0,120613.0
150000,1,1.0,2.0,27,0,0,86009,86108,4031,10006,0,26-27,11,0,479411.0,23841.0
50000,2,3.0,1.0,22,0,0,18722,18160,1411,1194,0,21-23,20,0,83794.0,3783.0
20000,1,2.0,1.0,38,0,0,17973,19367,1699,1460,1,37-38,9,-1,93217.0,5685.0
140000,1,1.0,2.0,32,-2,-2,672,10212,10212,850,0,31-33,2,-12,13679.0,13007.0
380000,2,1.0,2.0,30,-2,-2,-81,-303,223,33178,0,29-30,4,-5,132602.0,42019.0
480000,1,1.0,1.0,63,0,0,422069,431342,16078,55693,0,53-79,18,4,2761015.0,130971.0
50000,2,3.0,2.0,22,0,0,44698,42254,1767,1362,1,21-23,20,0,205366.0,6870.0
60000,2,2.0,2.0,26,2,2,56685,55208,0,5000,0,25-26,6,10,342038.0,13517.0
70000,2,2.0,2.0,24,-1,-1,5580,0,0,0,0,23-25,19,-9,32109.0,28529.0
80000,2,2.0,1.0,36,-1,-1,6108,2861,2861,3279,0,35-37,13,-6,17865.0,12794.0
350000,1,1.0,2.0,52,-1,-1,713,2272,2272,722,0,49-53,17,-6,10987.0,15285.0
130000,1,2.0,2.0,38,0,0,171438,178382,10908,0,0,37-38,9,-3,680938.0,287768.0
360000,1,2.0,1.0,35,1,-2,-103,-103,0,0,0,34-35,8,-9,-618.0,0.0
330000,2,1.0,1.0,31,0,0,105879,108431,9260,0,0,30-31,1,2,639580.0,32747.0
50000,1,3.0,1.0,47,0,0,13244,14722,2000,1000,0,46-49,16,2,93139.0,7000.0
280000,1,2.0,1.0,41,2,2,135673,138532,6500,0,0,40-41,12,13,855008.0,40604.0
100000,2,1.0,2.0,24,0,0,52128,52692,2000,2677,0,23-25,19,0,335186.0,17866.0
50000,1,2.0,2.0,41,0,0,19015,19294,1340,1305,0,40-41,12,0,119110.0,5471.0
30000,1,1.0,2.0,24,-1,2,18199,17618,0,1312,1,23-25,19,6,117660.0,6312.0
240000,1,1.0,2.0,28,-1,-1,326,326,326,326,0,27-28,7,-6,7456.0,7656.0
80000,1,2.0,2.0,26,2,0,14029,15493,2000,1700,1,25-26,6,2,99022.0,7700.0
400000,1,2.0,1.0,34,-1,-1,19660,9666,9677,11867,0,33-34,5,-6,71828.0,57891.0
240000,2,2.0,2.0,38,0,0,50254,51445,2000,3000,0,37-38,9,-2,209703.0,11073.0
50000,1,3.0,2.0,37,2,2,46004,45976,1000,4035,1,35-37,13,13,290245.0,10235.0
450000,1,1.0,1.0,40,1,-2,0,0,0,0,1,38-40,10,-9,0.0,0.0
110000,2,1.0,1.0,48,1,-2,0,0,0,0,0,46-49,16,-9,0.0,0.0
310000,2,2.0,1.0,35,2,0,304991,311243,13019,11128,1,34-35,8,2,1626538.0,53973.0
20000,1,1.0,2.0,27,0,0,19115,18962,1404,1130,0,26-27,11,0,112100.0,4308.0
20000,1,2.0,2.0,23,1,-2,0,0,0,0,0,21-23,20,-9,0.0,0.0
200000,1,3.0,2.0,52,0,0,110151,99530,3568,3585,0,49-53,17,0,617685.0,22056.0
180000,1,1.0,1.0,36,0,0,163736,116422,4655,2690,1,35-37,13,0,668882.0,14771.0
50000,1,2.0,1.0,51,0,0,3347,3899,1000,1066,1,49-53,17,0,30548.0,6200.0
60000,1,3.0,1.0,55,3,2,60521,61450,2504,7,0,53-79,18,7,264125.0,7511.0
30000,2,1.0,2.0,23,1,-2,4000,5645,5645,3508,0,21-23,20,-7,32776.0,31886.0
240000,1,1.0,2.0,41,1,-1,95,2622,2622,3301,0,40-41,12,-2,11279.0,8944.0
420000,1,2.0,1.0,34,0,0,253454,247743,9744,9553,0,33-34,5,0,1349911.0,53309.0
330000,1,3.0,1.0,46,0,0,227389,228719,8210,8095,0,43-46,15,0,1369317.0,49096.0
30000,2,2.0,2.0,22,0,0,28452,26145,2000,1400,0,21-23,20,0,123482.0,5460.0
240000,1,2.0,1.0,34,0,0,10674,12035,1500,1800,0,33-34,5,6,77708.0,4627.0
150000,1,1.0,2.0,27,0,0,17444,19342,2500,3000,0,26-27,11,0,140829.0,20000.0
210000,2,2.0,1.0,33,0,0,7166,7997,1500,1500,0,31-33,2,0,43256.0,7046.0
50000,2,3.0,1.0,51,-1,-1,752,300,300,5880,1,49-53,17,-8,6932.0,6180.0
50000,1,1.0,2.0,24,0,0,50801,50143,2360,1700,0,23-25,19,0,208330.0,8960.0
240000,1,1.0,2.0,47,1,-2,0,0,0,0,1,46-49,16,-9,0.0,0.0
180000,1,2.0,2.0,28,-1,-1,1832,0,0,416,0,27-28,7,-6,3828.0,5580.0
50000,1,2.0,2.0,23,1,2,10131,10833,1000,10000,0,21-23,20,7,99487.0,13500.0
170000,1,2.0,2.0,29,-2,-2,12159,10000,10000,10000,0,28-29,3,-12,67988.0,65846.0
20000,1,1.0,2.0,29,-1,-1,1199,15586,15586,344,0,28-29,3,-5,26510.0,23641.0
50000,1,1.0,2.0,28,0,0,4999,5913,1000,1500,0,27-28,7,3,48184.0,7183.0
170000,2,2.0,2.0,27,0,0,19269,20313,1661,1200,1,26-27,11,0,105012.0,3752.0
200000,1,1.0,2.0,34,1,2,197236,176192,8000,5000,0,33-34,5,3,794273.0,87000.0
80000,2,2.0,1.0,23,1,2,9168,10522,1650,0,0,21-23,20,8,61950.0,4121.0
260000,2,1.0,1.0,60,1,-2,-1100,-1100,0,22500,0,53-79,18,-5,21038.0,24469.0
140000,1,2.0,1.0,32,0,0,86627,78142,3455,3110,0,31-33,2,2,411323.0,16267.0
80000,1,1.0,2.0,25,0,0,42444,55744,30000,3000,0,23-25,19,0,256528.0,63000.0
350000,1,1.0,2.0,41,1,-1,208,2906,2906,1000,0,40-41,12,-5,4744.0,4536.0
280000,2,2.0,1.0,56,0,0,208775,182350,8042,6700,0,53-79,18,0,971621.0,133200.0
30000,2,3.0,2.0,26,0,0,9014,10406,1700,1500,0,25-26,6,0,70072.0,8700.0
140000,1,1.0,1.0,34,0,0,23944,28049,5000,5000,0,33-34,5,0,222980.0,35389.0
200000,2,1.0,2.0,37,0,0,105420,102870,4000,3250,0,35-37,13,0,575407.0,22560.0
200000,2,3.0,2.0,30,0,0,196031,196143,7300,7108,0,29-30,4,0,1018160.0,37788.0
210000,1,3.0,1.0,45,2,3,115785,122904,10478,10478,1,43-46,15,24,805451.0,65268.0
50000,1,3.0,1.0,57,3,2,12854,12362,0,1600,0,53-79,18,5,79884.0,3800.0
30000,1,1.0,2.0,41,2,2,24357,27453,3500,0,0,40-41,12,10,162596.0,8150.0
50000,1,2.0,2.0,27,2,-1,390,390,390,780,0,26-27,11,0,3396.0,2640.0
290000,1,3.0,1.0,47,-1,-1,1234,396,396,396,0,46-49,16,-5,3637.0,2376.0
250000,2,1.0,1.0,34,0,0,141223,156858,17994,0,0,33-34,5,2,918942.0,39850.0
60000,2,2.0,1.0,46,0,0,21148,23803,3000,1500,0,43-46,15,0,150304.0,10000.0
110000,2,1.0,2.0,27,0,0,101640,104795,5500,3900,0,26-27,11,0,539339.0,21100.0
370000,1,1.0,2.0,50,-2,-2,6093,15130,15383,8204,0,49-53,17,-12,63070.0,61944.0
100000,1,2.0,1.0,27,-1,2,102349,96847,3166,0,0,26-27,11,3,310089.0,55906.0
90000,2,2.0,1.0,35,0,0,72112,73854,3500,3500,0,34-35,8,2,472951.0,24652.0
50000,2,2.0,2.0,22,0,0,28040,29092,1510,1442,0,21-23,20,0,171359.0,6795.0
270000,1,2.0,2.0,37,0,0,37695,33397,5000,2000,0,35-37,13,0,180209.0,19000.0
300000,2,1.0,2.0,30,-1,-1,688,3280,3288,0,0,29-30,4,-6,11780.0,11846.0
50000,2,2.0,2.0,22,-1,0,8567,15273,15000,1000,0,21-23,20,-1,53787.0,31149.0
50000,2,1.0,2.0,24,1,-2,-709,-709,0,0,1,23-25,19,-9,-11569.0,0.0
360000,1,1.0,2.0,29,1,-2,0,0,0,77,0,28-29,3,-7,77.0,77.0
130000,1,3.0,1.0,56,1,2,64617,65978,3000,3000,1,53-79,18,12,410575.0,14500.0
80000,1,1.0,2.0,30,-2,-1,6187,100,504,500,0,29-30,4,-3,15624.0,6004.0
50000,1,2.0,2.0,30,1,2,48860,47801,0,1500,0,29-30,4,5,220483.0,6500.0
20000,2,2.0,2.0,22,0,0,16001,12622,1212,1201,0,21-23,20,0,83914.0,6913.0
80000,2,2.0,1.0,29,0,0,77883,81811,5800,1000,0,28-29,3,2,323559.0,8800.0
240000,1,1.0,2.0,37,-1,-1,12212,26578,15000,0,0,35-37,13,-1,118261.0,84191.0
80000,2,3.0,2.0,35,0,-1,49608,12412,12500,6500,0,34-35,8,-1,129487.0,29000.0
500000,2,1.0,1.0,47,0,0,56422,110616,70010,30357,0,46-49,16,0,579243.0,222550.0
60000,2,2.0,1.0,24,0,0,58024,57891,2500,1600,1,23-25,19,0,222443.0,10837.0
20000,1,2.0,2.0,25,0,0,10642,11677,1200,1593,0,23-25,19,-1,50904.0,5353.0
100000,2,2.0,1.0,38,1,2,14483,13961,0,1600,1,37-38,9,5,92351.0,5600.0
360000,2,1.0,2.0,32,1,-1,2616,57077,57087,5295,0,31-33,2,-4,163546.0,199288.0
200000,2,3.0,2.0,47,2,2,199436,202947,8214,7000,1,46-49,16,12,1182582.0,35984.0
130000,2,2.0,1.0,34,1,-1,0,5396,5396,5000,0,33-34,5,0,57742.0,17397.0
20000,2,2.0,2.0,31,1,5,21703,21087,0,1000,0,30-31,1,19,125792.0,1760.0
310000,1,1.0,2.0,32,0,0,59901,62147,10020,6031,0,31-33,2,0,353740.0,40419.0
60000,2,1.0,2.0,27,2,0,19625,20347,1342,1664,1,26-27,11,4,130018.0,6752.0
180000,2,1.0,2.0,29,-1,-1,11386,199,199,0,0,28-29,3,-6,45854.0,22881.0
180000,2,1.0,2.0,24,-1,-1,14670,22087,37867,0,0,23-25,19,-2,68239.0,38067.0
50000,1,2.0,1.0,36,0,0,47790,18114,2000,1000,0,35-37,13,-2,84870.0,26511.0
50000,2,1.0,2.0,24,1,2,36166,37188,1900,1400,1,23-25,19,11,228759.0,8132.0
150000,2,2.0,1.0,34,-2,-2,0,0,0,0,0,33-34,5,-12,1616.0,1616.0
20000,2,1.0,2.0,22,0,0,18553,19446,1500,1032,0,21-23,20,-1,103511.0,24766.0
500000,2,1.0,1.0,34,-2,-2,412,138,138,2299,0,33-34,5,-9,6457.0,21861.0
30000,2,3.0,2.0,22,1,2,29010,29256,1000,85,1,21-23,20,5,117854.0,2903.0
180000,2,1.0,1.0,38,-2,-2,750,0,0,0,0,37-38,9,-12,750.0,0.0
140000,1,1.0,2.0,31,0,0,27123,27299,25000,0,0,30-31,1,4,130872.0,38300.0
140000,2,1.0,2.0,26,-1,0,13424,18000,10000,13001,0,25-26,6,-5,64236.0,49839.0
120000,1,2.0,2.0,26,0,0,107314,110578,5000,5000,0,25-26,6,0,688894.0,29152.0
360000,2,2.0,1.0,48,0,0,226430,231878,9100,7300,0,46-49,16,0,1202779.0,37500.0
20000,1,3.0,1.0,43,-1,-1,227,20351,22359,1305,0,41-43,14,-2,98941.0,31538.0
100000,1,1.0,1.0,47,-1,-1,390,1473,1473,390,0,46-49,16,-6,3033.0,5023.0
210000,2,2.0,1.0,41,-1,-1,3088,1586,1586,343,1,40-41,12,-6,9657.0,6988.0
80000,2,2.0,2.0,24,0,0,81625,81554,3200,3000,1,23-25,19,0,391407.0,13838.0
330000,2,1.0,1.0,50,-1,-1,8872,4337,4345,2854,0,49-53,17,-8,19462.0,10868.0
220000,1,1.0,2.0,24,0,0,105607,108917,5000,5050,0,23-25,19,-3,419979.0,103985.0
210000,2,1.0,1.0,38,1,-2,0,0,0,250,1,37-38,9,-4,2384.0,11877.0
40000,2,3.0,1.0,43,0,0,38257,38901,1700,1504,0,41-43,14,0,215945.0,8404.0
30000,1,2.0,2.0,39,0,0,28347,28108,3036,2309,0,38-40,10,2,103603.0,8493.0
470000,1,2.0,2.0,27,2,2,296573,303320,13000,11001,0,26-27,11,8,2002818.0,55690.0
30000,1,3.0,1.0,42,-1,-1,390,390,390,390,0,41-43,14,-3,3510.0,2490.0
240000,2,2.0,1.0,36,1,-2,-946,-946,0,0,1,35-37,13,-9,-5676.0,0.0
80000,1,2.0,2.0,36,2,0,79278,78501,3100,3500,0,35-37,13,2,470809.0,19500.0
110000,2,3.0,,31,0,0,89989,84229,4000,5000,0,30-31,1,0,453847.0,26954.0
310000,2,1.0,2.0,38,-1,-1,1424,4542,4542,126,0,37-38,9,-8,6092.0,4668.0
360000,2,1.0,1.0,40,2,2,105167,115468,12000,0,1,38-40,10,6,685565.0,32100.0
330000,2,3.0,2.0,45,0,0,335196,334954,12388,12378,0,43-46,15,0,2005418.0,73223.0
300000,2,2.0,2.0,35,0,0,291619,297268,12019,9006,0,34-35,8,0,1431315.0,74582.0
320000,2,2.0,2.0,33,0,0,91653,94037,10042,18832,0,31-33,2,0,437268.0,41866.0
50000,2,3.0,2.0,37,1,3,52626,51537,0,24,1,35-37,13,6,243968.0,34317.0
170000,2,1.0,2.0,28,0,0,130370,131199,6530,4860,0,27-28,7,0,772102.0,48549.0
350000,1,3.0,1.0,44,-1,-1,3265,2686,2686,1864,0,43-46,15,-7,8384.0,5119.0
20000,1,2.0,1.0,37,0,0,16455,16511,1609,3000,0,35-37,13,0,108461.0,7564.0
50000,1,2.0,2.0,23,2,0,49758,48456,2401,2254,1,21-23,20,2,202501.0,9074.0
20000,2,3.0,2.0,24,1,2,19154,18165,0,1333,0,23-25,19,3,63912.0,5133.0
50000,2,1.0,2.0,24,0,0,35084,35796,2090,2002,0,23-25,19,0,132930.0,6732.0
20000,1,2.0,2.0,23,1,2,20235,17132,0,1200,1,21-23,20,5,94656.0,13200.0
50000,1,2.0,1.0,26,0,0,102800,0,0,0,0,25-26,6,-4,197548.0,51938.0
190000,1,2.0,2.0,34,2,0,129801,131383,5000,5000,1,33-34,5,6,828058.0,34887.0
60000,2,2.0,1.0,33,0,0,58203,36367,1506,1298,0,31-33,2,0,175794.0,5935.0
80000,1,1.0,2.0,35,-1,-1,7988,3977,3983,6853,0,34-35,8,-6,41852.0,36293.0
150000,2,2.0,2.0,27,0,0,127402,110050,4500,1745,0,26-27,11,0,399780.0,12625.0
210000,2,1.0,2.0,31,-2,-2,1440,0,0,7422,0,30-31,1,-10,18130.0,19989.0
240000,2,3.0,1.0,50,0,0,234205,231669,10116,9150,1,49-53,17,0,1313227.0,50997.0
140000,2,2.0,,41,0,0,19346,21708,3000,2000,1,40-41,12,0,115854.0,13597.0
60000,2,1.0,2.0,28,1,2,21501,20650,0,0,0,27-28,7,0,44436.0,2285.0
50000,1,1.0,2.0,39,0,0,47174,47974,1800,2000,0,38-40,10,0,241244.0,12800.0
50000,2,2.0,2.0,27,0,0,26655,27724,1800,1750,0,26-27,11,0,169234.0,7950.0
180000,2,1.0,2.0,32,-1,-1,3139,5853,2821,0,0,31-33,2,0,14634.0,5818.0
30000,2,1.0,2.0,40,-1,-1,142,215,355,120,0,38-40,10,6,613.0,595.0
20000,2,2.0,2.0,40,0,0,19816,20396,1601,2203,0,38-40,10,-2,79889.0,5918.0
250000,2,2.0,1.0,75,0,-1,52874,1631,1631,1536,0,53-79,18,-5,63417.0,11727.0
100000,2,2.0,2.0,27,0,0,37767,34457,1788,1799,0,26-27,11,0,196498.0,8260.0
330000,1,1.0,2.0,25,0,0,46140,45781,2504,4007,0,23-25,19,2,256005.0,15230.0
50000,1,3.0,1.0,46,0,0,35713,15392,1561,1268,0,43-46,15,0,117871.0,7027.0
50000,2,2.0,2.0,26,1,2,50867,51486,1710,136,0,25-26,6,5,240862.0,10062.0
30000,1,2.0,2.0,28,0,0,29242,29507,5006,1244,0,27-28,7,0,135160.0,8056.0
140000,2,2.0,2.0,26,0,0,101551,105246,5366,5087,1,25-26,6,0,631439.0,25041.0
160000,2,1.0,2.0,28,0,0,70243,47779,7042,2000,0,27-28,7,-1,337391.0,132311.0
400000,2,2.0,2.0,29,-1,0,19532,3719,3127,1469,0,28-29,3,-5,34030.0,14825.0
50000,1,2.0,1.0,25,0,0,27699,28513,1565,1393,0,23-25,19,0,173552.0,6842.0
140000,2,2.0,1.0,48,0,-1,1154,1233,1233,1075,0,46-49,16,-5,27095.0,27501.0
160000,2,2.0,1.0,33,-1,-1,8015,2453,2453,9880,0,31-33,2,-5,82207.0,68661.0
100000,2,3.0,1.0,43,0,0,62170,0,0,0,0,41-43,14,-8,62170.0,0.0
220000,1,1.0,1.0,48,2,0,210380,213522,10000,9020,1,46-49,16,2,1129440.0,42020.0
510000,2,1.0,2.0,29,0,0,78331,99414,40010,20094,0,28-29,3,0,513211.0,160470.0
50000,1,2.0,2.0,29,0,0,49276,35100,1602,1400,0,28-29,3,0,202201.0,16512.0
160000,2,1.0,1.0,38,-1,-1,4473,4664,4664,5969,0,37-38,9,-3,63277.0,44142.0
230000,2,1.0,2.0,37,-2,-2,2283,50815,51315,0,0,35-37,13,-12,53735.0,51952.0
80000,2,1.0,2.0,37,-1,-1,10115,249,258,5995,0,35-37,13,-6,35054.0,28957.0
150000,2,2.0,1.0,25,-1,-1,6156,0,0,0,0,23-25,19,-7,7104.0,1264.0
10000,1,3.0,2.0,23,0,0,6974,7838,1134,1298,0,21-23,20,2,52136.0,3932.0
130000,2,3.0,2.0,49,0,0,89003,91362,4100,3095,1,46-49,16,0,357781.0,9986.0
40000,2,1.0,2.0,48,0,0,34871,34449,1600,1600,0,46-49,16,0,207975.0,9200.0
50000,1,2.0,2.0,27,3,2,13694,14880,1700,0,1,26-27,11,6,73717.0,6631.0
